fecha;unidades
29/11/2015;4
30/11/2015;814
01/12/2015;1029
02/12/2015;1187
03/12/2015;1216
04/12/2015;1275
05/12/2015;379
06/12/2015;3
07/12/2015;753
08/12/2015;1133
09/12/2015;1305
10/12/2015;1340
11/12/2015;1407
12/12/2015;418
13/12/2015;4
14/12/2015;831
15/12/2015;1254
16/12/2015;1448
17/12/2015;1489
18/12/2015;1557
19/12/2015;464
20/12/2015;4
21/12/2015;922
22/12/2015;1397
23/12/2015;1613
24/12/2015;1664
25/12/2015;1753
26/12/2015;522
27/12/2015;5
28/12/2015;1038
29/12/2015;1572
30/12/2015;1815
31/12/2015;1865
01/01/2016;636
02/01/2016;190
03/01/2016;2
04/01/2016;377
05/01/2016;568
06/01/2016;655
07/01/2016;671
08/01/2016;701
09/01/2016;209
10/01/2016;2
11/01/2016;415
12/01/2016;630
13/01/2016;727
14/01/2016;747
15/01/2016;782
